relation,source,target
r_whois_name,Domain_c58c149eec59bb14b0c102a0f303d4c20366926b5c3206555d2937474124beb9,Whois_Name_db0925a5aeb1849fa7b41f7a29c1192d38e12e97fb6e82e72e894e3c733130ef
r_whois_email,Domain_c58c149eec59bb14b0c102a0f303d4c20366926b5c3206555d2937474124beb9,Whois_Email_5a3d16b7df3d815d5f3436bd5dd5c5e1054ee7cb74d4fd8d9efdf3af362a4a18
r_whois_phone,Domain_c58c149eec59bb14b0c102a0f303d4c20366926b5c3206555d2937474124beb9,Whois_Phone_f6974ce3fa84ae76d75b9211f3162155db77566a36c82549b66a9a3d966a928b
r_cname,Domain_c58c149eec59bb14b0c102a0f303d4c20366926b5c3206555d2937474124beb9,Domain_1d8e02f35e2cba9afb64a653aec2d7703559001c9d4f24c9b119eba50c47df10
r_dns_a,Domain_c58c149eec59bb14b0c102a0f303d4c20366926b5c3206555d2937474124beb9,IP_94fb4d47d3920b6a5b74a8ce9e304377460fdffdf6582eca97eda2037bbe0b47
r_cert,Domain_c58c149eec59bb14b0c102a0f303d4c20366926b5c3206555d2937474124beb9,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_whois_name,Domain_61befc7014010dffed9239b8a133396e1a88fa822703b677b123268eb16be3f7,Whois_Name_db0925a5aeb1849fa7b41f7a29c1192d38e12e97fb6e82e72e894e3c733130ef
r_whois_email,Domain_61befc7014010dffed9239b8a133396e1a88fa822703b677b123268eb16be3f7,Whois_Email_5a3d16b7df3d815d5f3436bd5dd5c5e1054ee7cb74d4fd8d9efdf3af362a4a18
r_whois_phone,Domain_61befc7014010dffed9239b8a133396e1a88fa822703b677b123268eb16be3f7,Whois_Phone_f6974ce3fa84ae76d75b9211f3162155db77566a36c82549b66a9a3d966a928b
r_subdomain,Domain_61befc7014010dffed9239b8a133396e1a88fa822703b677b123268eb16be3f7,Domain_c58c149eec59bb14b0c102a0f303d4c20366926b5c3206555d2937474124beb9
r_dns_a,Domain_61befc7014010dffed9239b8a133396e1a88fa822703b677b123268eb16be3f7,IP_94fb4d47d3920b6a5b74a8ce9e304377460fdffdf6582eca97eda2037bbe0b47
r_cname,Domain_61befc7014010dffed9239b8a133396e1a88fa822703b677b123268eb16be3f7,Domain_1d8e02f35e2cba9afb64a653aec2d7703559001c9d4f24c9b119eba50c47df10
r_cert,Domain_61befc7014010dffed9239b8a133396e1a88fa822703b677b123268eb16be3f7,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_dns_a,Domain_1d8e02f35e2cba9afb64a653aec2d7703559001c9d4f24c9b119eba50c47df10,IP_94fb4d47d3920b6a5b74a8ce9e304377460fdffdf6582eca97eda2037bbe0b47
r_subdomain,Domain_1d8e02f35e2cba9afb64a653aec2d7703559001c9d4f24c9b119eba50c47df10,Domain_110fb52a3afd8dbd4d2c36688306166f216e5a19362ae554addf7677ee568aea
r_cert,Domain_1d8e02f35e2cba9afb64a653aec2d7703559001c9d4f24c9b119eba50c47df10,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_whois_name,Domain_1d8e02f35e2cba9afb64a653aec2d7703559001c9d4f24c9b119eba50c47df10,Whois_Name_9bf9ce0d5302876657f37557cd8beb6dde7fb29f56370227ca7452c0904328f2
r_whois_email,Domain_1d8e02f35e2cba9afb64a653aec2d7703559001c9d4f24c9b119eba50c47df10,Whois_Email_91e0f65f5e2ade2b90edc1f31fe989f138a39f35650688c2da28ebb5ba29a7d8
r_whois_phone,Domain_1d8e02f35e2cba9afb64a653aec2d7703559001c9d4f24c9b119eba50c47df10,Whois_Phone_3c7409957132fe5ac233d4dd715dd018be212923b746abf8a94a96eb905fb8fb
r_dns_a,Domain_1d8e02f35e2cba9afb64a653aec2d7703559001c9d4f24c9b119eba50c47df10,IP_8825af1b085a177c9fbe38f62c83937cb896fd4c46cc6726fd9c641e5c0fea60
r_whois_name,Domain_a2d2208c5348b93e3ddc90439ae6c7eda49cde8c4e1e35609d978e3c3209156b,Whois_Name_db0925a5aeb1849fa7b41f7a29c1192d38e12e97fb6e82e72e894e3c733130ef
r_subdomain,Domain_a2d2208c5348b93e3ddc90439ae6c7eda49cde8c4e1e35609d978e3c3209156b,Domain_e5e34ad079fa8e284b47409407dde50949da066862dbb1a83f0e1f4a31ae2cf3
r_whois_email,Domain_a2d2208c5348b93e3ddc90439ae6c7eda49cde8c4e1e35609d978e3c3209156b,Whois_Email_5a3d16b7df3d815d5f3436bd5dd5c5e1054ee7cb74d4fd8d9efdf3af362a4a18
r_whois_phone,Domain_a2d2208c5348b93e3ddc90439ae6c7eda49cde8c4e1e35609d978e3c3209156b,Whois_Phone_f6974ce3fa84ae76d75b9211f3162155db77566a36c82549b66a9a3d966a928b
r_whois_name,Domain_e5e34ad079fa8e284b47409407dde50949da066862dbb1a83f0e1f4a31ae2cf3,Whois_Name_db0925a5aeb1849fa7b41f7a29c1192d38e12e97fb6e82e72e894e3c733130ef
r_whois_email,Domain_e5e34ad079fa8e284b47409407dde50949da066862dbb1a83f0e1f4a31ae2cf3,Whois_Email_5a3d16b7df3d815d5f3436bd5dd5c5e1054ee7cb74d4fd8d9efdf3af362a4a18
