relation,source,target
r_cert,Domain_dc7778a1e7b45016aff8cdc26fc1f48eed4bbfcfde1a06df22c94607c2891272,Cert_6724539e5c0851f37dcf91b7ac85cb35fcd9f8ba4df0107332c308aa53d63bdb
r_subdomain,Domain_116b5394b08e7aa782f0f3afefc5fafc5aaf1309f017f71927c57af5b22f686b,Domain_bba158a9935877c87483c45bfba41e55f0352132a1e45c59d59055c2a1ac3101
r_dns_a,Domain_bb527045452e8a70ca8f13e20599245e248c82cceffb3590f12c21e4c89bbe74,IP_e0d228205cd3e078cd08fb20002d12c09b31c5d2f187035cdcb85c92e18f8535
r_subdomain,Domain_1a5a12094bd6108eb952ddf7f9955b6022170aee3cad0d5f5162a29dc0249c4d,Domain_bfeb36ff4831d89edba256129443e3e7acf376ff8ef1f3b594ca71a6b01fe61a
r_dns_a,Domain_daa1ee7ac5068b44707f7fc38f8cce4c797ba127e28169952293e1f651e74aea,IP_d4f954237d3c51ce23067e73841af5016ea81076df06fe42d6c690683ae8ccb9
r_whois_phone,Domain_e40f9a214f5d172b0d9e83cf3a9d9f6c7255ab285a7c273dd05fad5360b7fed0,Whois_Phone_d3f0cdeffac04c9809f797b9520f00adb727f009738e162c176fddc464db157b
r_dns_a,Domain_a1605ce4808f8b3736bbbe07322483605ccdaf5fe8a008529db999bf048f10f7,IP_399394f880802b91935222c24af6a1b36b47c499b25639d39c23bea6e2b1d175
r_subdomain,Domain_73a5c44bb64347c23ca2db93df62b2641ac697b4527ebd1a745645b7876f7075,Domain_e2f7dd9ffd85995a5da4fb3a280ef2913530b1df94def4b07c2911d7ebe1933e
r_dns_a,Domain_73a5c44bb64347c23ca2db93df62b2641ac697b4527ebd1a745645b7876f7075,IP_3b496d52472ccd387aa8de40c2fd2b38e82d60397623bf0fcbb0611553b00229
r_cert,Domain_3f697496874417dd6c2c57cc0edeac2792b3f2016faab4330441207ca6433416,Cert_6724539e5c0851f37dcf91b7ac85cb35fcd9f8ba4df0107332c308aa53d63bdb
