weight,relation,attr_dict
4,r_cert,"{'relation': 'r_cert', 'source': 'Domain_8718cffd3ad7c0cca85f2da2ddd6accb1cd6e90a5c2f3c8153f7ceeab868e3a8', 'target': 'Cert_87646b0f3e6fe83ef4e8b49f90848f9e0a5f635c15ff10f98132cf1637e961ff'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_8718cffd3ad7c0cca85f2da2ddd6accb1cd6e90a5c2f3c8153f7ceeab868e3a8', 'target': 'Domain_e3a8c0d7fda8ba3704b15833663825d5e9a09669c45140ad8917dfdb2d286a8e'}"
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_03c7eea4e869399d1fd55549451e02a0a682acb1a76ef08405f4af232668b979', 'target': 'Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_25044bb9c5f4a65fbe433fcf3ab8920338df3c1e24face6862e8a4473652da20', 'target': 'Domain_0eff824bbd0d0864b11a91bc776867ae25ea138cbdfa514cdf5f9b08597ffaa7'}"
4,r_cert,"{'relation': 'r_cert', 'source': 'Domain_faf478d16fdab3b283f2765ce1ab5d5f3bd6af24139a5fa790ca7371bffa096b', 'target': 'Cert_87646b0f3e6fe83ef4e8b49f90848f9e0a5f635c15ff10f98132cf1637e961ff'}"
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_d747b649b93c45f80645ff7655c7e25c0b637351efbac982f23241934e545c8c', 'target': 'Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee'}"
4,r_cert,"{'relation': 'r_cert', 'source': 'Domain_de8c6db52183f7a47a4cff145e6fa4cde13a4cddea4221795ffdd18c79c8abc0', 'target': 'Cert_87646b0f3e6fe83ef4e8b49f90848f9e0a5f635c15ff10f98132cf1637e961ff'}"
4,r_cert,"{'relation': 'r_cert', 'source': 'Domain_f1567c92ba32b4a3c063f5aca7de0ec5b60743b0906268be6e2857ae95d9ab01', 'target': 'Cert_87646b0f3e6fe83ef4e8b49f90848f9e0a5f635c15ff10f98132cf1637e961ff'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_f1567c92ba32b4a3c063f5aca7de0ec5b60743b0906268be6e2857ae95d9ab01', 'target': 'Domain_789fed3a5b49ddfe691b9b74af3d541826c76317b6385b3b71c6179661594b08'}"
4,r_cert,"{'relation': 'r_cert', 'source': 'Domain_69a6c3267c06a2ba0acad1b62116dac0a0b0290625970034ae3de3347e901455', 'target': 'Cert_87646b0f3e6fe83ef4e8b49f90848f9e0a5f635c15ff10f98132cf1637e961ff'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_69a6c3267c06a2ba0acad1b62116dac0a0b0290625970034ae3de3347e901455', 'target': 'Domain_b6db015205a0c3dab86f107c649923e64d0ac0a7bf64580927838f288d402b73'}"
