relation,source,target
r_cert,Domain_dd4f6245ca3310d1c1d39015ca7978a01129fe35ac01a0962aa998e15e76f7ff,Cert_87646b0f3e6fe83ef4e8b49f90848f9e0a5f635c15ff10f98132cf1637e961ff
r_subdomain,Domain_dd4f6245ca3310d1c1d39015ca7978a01129fe35ac01a0962aa998e15e76f7ff,Domain_026911bd6cffa5e180126b5851f8dd9277941b2e774f5aef8fd58bce266f72e7
r_dns_a,Domain_dd4f6245ca3310d1c1d39015ca7978a01129fe35ac01a0962aa998e15e76f7ff,IP_6b89dc91187023a5f7683e4d5c0da1cc133abc109dfcf7091daf6fca3fa15e13
r_cname,Domain_dd4f6245ca3310d1c1d39015ca7978a01129fe35ac01a0962aa998e15e76f7ff,Domain_7ca2095c57948f984bd50622005b235b28b271ebe5218a00bb12448fd2a5522a
r_cert,Domain_e3650d2c878d75560288bbc08ebdaab0aa3b1b47aa1e6bf7139918f32aecb01e,Cert_87646b0f3e6fe83ef4e8b49f90848f9e0a5f635c15ff10f98132cf1637e961ff
r_dns_a,Domain_e3650d2c878d75560288bbc08ebdaab0aa3b1b47aa1e6bf7139918f32aecb01e,IP_ccec3a461352f77274d9d49702d8e408f255fd32c1809c7f3021be911300d34f
r_cname,Domain_e3650d2c878d75560288bbc08ebdaab0aa3b1b47aa1e6bf7139918f32aecb01e,Domain_4dc9bee63acca46786c4ca9f56a23ab865bad8432fa47b2b73cac9d4e04055b2
r_cname,Domain_a98dde575f90f591ce4d89d8c365425aca864e0fb41547870dec6db4fc90ed62,Domain_3d54b43bff86613c4b552a5755599230bab92a4d4e8c8473e0234d81fcf07171
r_dns_a,Domain_a98dde575f90f591ce4d89d8c365425aca864e0fb41547870dec6db4fc90ed62,IP_5afc5503ceee16f7e7d6c8c90392d66507aebd8d496243e565cda5c9dd82184d
r_dns_a,Domain_5a5d9e44a15f8f6a410556037c6e1674c16470d408748c8d9f3e99d197bbd552,IP_9ff61420e05e52cbebf987a4cb8b71bb51a5c25ea7222e5d77ffc9ed556fbc24
r_subdomain,Domain_5a5d9e44a15f8f6a410556037c6e1674c16470d408748c8d9f3e99d197bbd552,Domain_c00a6362afaafd0f7d0958543cb51b2c907f994f67660e3f718129b0daa7ed01
r_subdomain,Domain_5a5d9e44a15f8f6a410556037c6e1674c16470d408748c8d9f3e99d197bbd552,Domain_b0c0111ed63efd06ea0ed661c585166cfedcc4305fd4bbda6ba6b849f04fb586
r_subdomain,Domain_5a5d9e44a15f8f6a410556037c6e1674c16470d408748c8d9f3e99d197bbd552,Domain_40e9c5b865bc3f9443ceab8a8deb6c08e9ae8641f97369de71df198244803bba
r_subdomain,Domain_5a5d9e44a15f8f6a410556037c6e1674c16470d408748c8d9f3e99d197bbd552,Domain_f39bb5ffb76d652141e08d7c06e4dd92ba347684cb60159889d1fcd398dffaee
r_subdomain,Domain_e53f1ecaaf41962d7ff9cbfb65222343f19b3e07b64e7e7cd0f378f21ab8b1b1,Domain_4064718cd093677240d2e62b85248b29bcdd07b552fff93ed940ded582d4272a
r_cname,Domain_c6ae3bc6374d3892cc1f6da918cc8447d749d8148f1ca1a0d3f7c21c731cac83,Domain_992f7f62d8805b233d6c0ea4f2c7f846e2e2cee10b81fd59a992e29f47de8a77
r_dns_a,Domain_c6ae3bc6374d3892cc1f6da918cc8447d749d8148f1ca1a0d3f7c21c731cac83,IP_aa326da0ce3091617ac26d4ca1a1e4bf492d1218c38d2a9c73551ea48ff67ffe
r_cname,Domain_0d291e2c83354b0d181116e6ea74b5c347d9629c5d6b5f5669ca514698c3734e,Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee
r_subdomain,Domain_0d291e2c83354b0d181116e6ea74b5c347d9629c5d6b5f5669ca514698c3734e,Domain_b71d8604ace6b47052f3ae7ac190b63f35e53ff952914ebfdd7f3b92aeb0f344
r_dns_a,Domain_0d291e2c83354b0d181116e6ea74b5c347d9629c5d6b5f5669ca514698c3734e,IP_e72967d57066e21b5bd649421872f030617464a0f9a8792247e0b2f6a7199d20
r_dns_a,Domain_8e5e3047203b76acc1af974b1ef44bda02c6f4c52b6a0f96c3a7383379ce5615,IP_41b0651c2c827a979b7e5b155ed831487cff32052cb0597713e315be847e1c9c
r_dns_a,Domain_d4de33bf1b43c76af07283843166c18873717d405881b069e15a0fb516df0476,IP_88ff1d58ba6c74b8b885f8be7dd46bb207255f1ca612ec2dcb08206bef76739f
r_dns_a,Domain_02f59c4ee69f6a30cc342d5ff8177662b4a1b77c2cac903bfa54c96f2889f077,IP_aa326da0ce3091617ac26d4ca1a1e4bf492d1218c38d2a9c73551ea48ff67ffe
r_cname,Domain_02f59c4ee69f6a30cc342d5ff8177662b4a1b77c2cac903bfa54c96f2889f077,Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee
r_cname,Domain_a3cf6477b823340a4143c4dc1d64c09b1c00f3dcdad11c3392a65ead66681eb2,Domain_3977be4c08410d7bd1ad003fc7c7145f425837e671a61c7fac2e322d00778e5f
r_dns_a,Domain_a3cf6477b823340a4143c4dc1d64c09b1c00f3dcdad11c3392a65ead66681eb2,IP_5afc5503ceee16f7e7d6c8c90392d66507aebd8d496243e565cda5c9dd82184d
r_dns_a,Domain_eb52ef66ec2dcce2189a56d52ea6f8d3c3919fe2a6dd8a70b913d4d0bec8e481,IP_2f5316bbca8027fb39e79753c9453fbe8054d12d7d06d3180cc4dec3b105640e
r_cname,Domain_86af61c15178bdd92a06e9fc8ec155a0c0c88d27343b99d4ac0dd4197bdc8561,Domain_c65fdeac8f962bbaa699698aba43ba2455c7c1e03926ba2045bf3dbf67fbd845
r_dns_a,Domain_86af61c15178bdd92a06e9fc8ec155a0c0c88d27343b99d4ac0dd4197bdc8561,IP_5afc5503ceee16f7e7d6c8c90392d66507aebd8d496243e565cda5c9dd82184d
