source,target,relation
IP_5afc5503ceee16f7e7d6c8c90392d66507aebd8d496243e565cda5c9dd82184d,ASN_6d8c74cdc77e30e975c44d322cd5bb8770b07802d55f716454adf5a1ef01fce2,r_asn
IP_5afc5503ceee16f7e7d6c8c90392d66507aebd8d496243e565cda5c9dd82184d,IP_CIDR_97d241d9890b81965ae7adde44779ecd03bd15773a67cce7250acc4022cb866d,r_cidr
Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee,Cert_87646b0f3e6fe83ef4e8b49f90848f9e0a5f635c15ff10f98132cf1637e961ff,r_cert
Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee,Domain_d751e9bde65f977e1f98e9bcb68213e16afd34b0f48324100b79b25dd705a313,r_cname
Domain_d751e9bde65f977e1f98e9bcb68213e16afd34b0f48324100b79b25dd705a313,IP_6b89dc91187023a5f7683e4d5c0da1cc133abc109dfcf7091daf6fca3fa15e13,r_dns_a
Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee,Domain_992f7f62d8805b233d6c0ea4f2c7f846e2e2cee10b81fd59a992e29f47de8a77,r_cname
Domain_992f7f62d8805b233d6c0ea4f2c7f846e2e2cee10b81fd59a992e29f47de8a77,IP_aa326da0ce3091617ac26d4ca1a1e4bf492d1218c38d2a9c73551ea48ff67ffe,r_dns_a
Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee,Domain_34ca6a4a7c099f5727c64c60df902fa58d144c5d727c0ff96e44669cb8c8d5e2,r_subdomain
Domain_34ca6a4a7c099f5727c64c60df902fa58d144c5d727c0ff96e44669cb8c8d5e2,Domain_c65fdeac8f962bbaa699698aba43ba2455c7c1e03926ba2045bf3dbf67fbd845,r_subdomain
Domain_c65fdeac8f962bbaa699698aba43ba2455c7c1e03926ba2045bf3dbf67fbd845,IP_9ff61420e05e52cbebf987a4cb8b71bb51a5c25ea7222e5d77ffc9ed556fbc24,r_dns_a
Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee,IP_500b7fa52c05f27c0a17b635e1b2fca4960a70632947ba8e0801fae1eea077a3,r_dns_a
IP_500b7fa52c05f27c0a17b635e1b2fca4960a70632947ba8e0801fae1eea077a3,IP_CIDR_982a4b68db05358145816dca7695aa1889c8502845bfca3ce334b412f1abf9ba,r_cidr
Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee,IP_500b7fa52c05f27c0a17b635e1b2fca4960a70632947ba8e0801fae1eea077a3,r_dns_a
IP_500b7fa52c05f27c0a17b635e1b2fca4960a70632947ba8e0801fae1eea077a3,ASN_d3a0896bd69ed12cf02c4c2c88f2cfe5c621f966dd95a24831427b77a87a0f08,r_asn
Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee,Domain_34ca6a4a7c099f5727c64c60df902fa58d144c5d727c0ff96e44669cb8c8d5e2,r_subdomain
Domain_34ca6a4a7c099f5727c64c60df902fa58d144c5d727c0ff96e44669cb8c8d5e2,Domain_7d41b41a1746a64a3b40d6b6b27f0de5529421e154f70975c9a590c41c9d01e4,r_subdomain
Domain_7d41b41a1746a64a3b40d6b6b27f0de5529421e154f70975c9a590c41c9d01e4,IP_88ff1d58ba6c74b8b885f8be7dd46bb207255f1ca612ec2dcb08206bef76739f,r_dns_a
Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee,Domain_34ca6a4a7c099f5727c64c60df902fa58d144c5d727c0ff96e44669cb8c8d5e2,r_subdomain
Domain_34ca6a4a7c099f5727c64c60df902fa58d144c5d727c0ff96e44669cb8c8d5e2,Domain_3977be4c08410d7bd1ad003fc7c7145f425837e671a61c7fac2e322d00778e5f,r_subdomain
Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee,Domain_34ca6a4a7c099f5727c64c60df902fa58d144c5d727c0ff96e44669cb8c8d5e2,r_subdomain
Domain_34ca6a4a7c099f5727c64c60df902fa58d144c5d727c0ff96e44669cb8c8d5e2,Domain_1091690bb832bf666240a9acb49c38f950833e15981896138d9128ae37f57cdd,r_subdomain
IP_aa326da0ce3091617ac26d4ca1a1e4bf492d1218c38d2a9c73551ea48ff67ffe,IP_CIDR_982a4b68db05358145816dca7695aa1889c8502845bfca3ce334b412f1abf9ba,r_cidr
IP_aa326da0ce3091617ac26d4ca1a1e4bf492d1218c38d2a9c73551ea48ff67ffe,ASN_d3a0896bd69ed12cf02c4c2c88f2cfe5c621f966dd95a24831427b77a87a0f08,r_asn
